mouse,gender,genotype,age,endpoint,measure,tissue
HZ2,F,Q111/+,3,Abhd1,0.10349,liver
HZ3,F,Q111/+,3,Abhd1,1.057101,liver
HZ4,F,Q111/+,3,Abhd1,1.285111,liver
HW1,F,+/+,3,Abhd1,0.163766,liver
HW2,F,+/+,3,Abhd1,0.122328,liver
HW3,F,+/+,3,Abhd1,0.133367,liver
HW4,F,+/+,3,Abhd1,0.258191,liver
HX1,M,Q111/+,3,Abhd1,1.831985,liver
HX2,M,Q111/+,3,Abhd1,2.065515,liver
HX3,M,Q111/+,3,Abhd1,1.401121,liver
HX4,M,Q111/+,3,Abhd1,1.655755,liver
HV1,M,+/+,3,Abhd1,0.107078,liver
HV2,M,+/+,3,Abhd1,0.245255,liver
HV3,M,+/+,3,Abhd1,0.054215,liver
HV4,M,+/+,3,Abhd1,0.116694,liver
